date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:51	2973/2973	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/robots.txt		(from )
12:29:51	44203/44203	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/	D:/saniksolution/lux/lux/maysalimo.com/index.html	(from )
12:29:51	708/708	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/template/favicon.png	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/template/favicon.png	(from https://maysalimo.com/)
12:29:51	199700/199700	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/css/style.css?v=1.0.0	D:/saniksolution/lux/lux/maysalimo.com/assets/css/stylee209.css	(from https://maysalimo.com/)
12:29:51	44203/44203	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/index.html	D:/saniksolution/lux/lux/maysalimo.com/index-2.html	(from https://maysalimo.com/)
12:29:52	386/386	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/template/logo.svg	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/template/logo.svg	(from https://maysalimo.com/)
12:29:53	11887/11887	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2006:26:54%20GMT	https://maysalimo.com/cms/reserve	D:/saniksolution/lux/lux/maysalimo.com/cms/reserve.html	(from https://maysalimo.com/)
12:29:53	389/389	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/template/reserve.svg	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/template/reserve.svg	(from https://maysalimo.com/)
12:29:53	16568/16568	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/fleet-list.html	D:/saniksolution/lux/lux/maysalimo.com/fleet-list.html	(from https://maysalimo.com/)
12:29:53	21799/21799	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/suv-fleet.html	D:/saniksolution/lux/lux/maysalimo.com/suv-fleet.html	(from https://maysalimo.com/)
12:29:53	21643/21643	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/luxury-sedans.html	D:/saniksolution/lux/lux/maysalimo.com/luxury-sedans.html	(from https://maysalimo.com/)
12:29:54	19359/19359	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/fleet-list-3.html	D:/saniksolution/lux/lux/maysalimo.com/fleet-list-3.html	(from https://maysalimo.com/)
12:29:54	23320/23320	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/fleet-list-4.html	D:/saniksolution/lux/lux/maysalimo.com/fleet-list-4.html	(from https://maysalimo.com/)
12:29:54	17058/17058	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/service-grid.html	D:/saniksolution/lux/lux/maysalimo.com/service-grid.html	(from https://maysalimo.com/)
